City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,summerville,33.0185,-80.1757,31.61,68,75,5.14,US,1687113770
95,east london,-33.0153,27.9116,16.52,82,0,3.09,ZA,1687113814
96,port elizabeth,-33.918,25.5701,13.94,88,0,3.09,ZA,1687113815
97,vardo,70.3705,31.1107,6.99,93,100,7.2,NO,1687113815
98,bougouni,11.417,-7.479,31.62,44,42,2.27,ML,1687113815
99,nantai,40.9241,122.8044,20.54,65,100,2.43,CN,1687113815
100,cherskiy,68.75,161.3,9.86,56,92,0.58,RU,1687113815
101,ambulu,-8.345,113.6058,22.34,86,29,1.3,ID,1687113816
102,livingston,55.9029,-3.5226,18.8,88,20,6.69,GB,1687113816
103,ola,59.5833,151.2833,7.86,89,100,1.25,RU,1687113816
104,fort nelson,58.8053,-122.7002,16.64,59,75,3.6,CA,1687113816
105,sept-iles,50.2001,-66.3821,11.7,78,100,5.14,CA,1687113878
106,tuktoyaktuk,69.4541,-133.0374,2.0,100,100,2.06,CA,1687113878
107,aklavik,68.2191,-135.0107,9.0,81,75,0.0,CA,1687113744
108,erzincan,39.75,39.5,14.61,82,40,1.03,TR,1687113878
109,bathsheba,13.2167,-59.5167,31.34,70,40,5.66,BB,1687113879
110,esso,55.9333,158.7,9.47,93,100,2.34,RU,1687113879
111,pisco,-13.7,-76.2167,21.03,73,40,3.6,PE,1687113879
112,haines junction,60.7522,-137.5108,16.97,48,17,5.14,CA,1687113879
113,pevek,69.7008,170.3133,0.43,94,100,1.85,RU,1687113880
114,sao felix do xingu,-6.6447,-51.995,30.08,55,70,1.82,BR,1687113880
115,dikson,73.5069,80.5464,-0.08,98,100,7.37,RU,1687113880
116,tiksi,71.6872,128.8694,9.51,46,67,4.57,RU,1687113880
117,tiznit,29.5833,-9.5,19.39,68,0,4.53,MA,1687113880
118,sinjai,-5.1241,120.253,24.03,83,96,1.73,ID,1687113881
119,severo-kurilsk,50.6789,156.125,6.01,97,100,9.82,RU,1687113881
120,castro,-24.7911,-50.0119,16.2,59,0,1.37,BR,1687113881
121,puerto escondido,15.85,-97.0667,33.46,55,40,2.57,MX,1687113881
122,butaritari,3.0707,172.7902,28.62,77,100,6.29,KI,1687113882
123,ribeira grande,38.5167,-28.7,22.65,83,75,7.72,PT,1687113882
124,high rock,26.6208,-78.2833,30.01,71,100,7.04,BS,1687113882
125,takoradi,4.8845,-1.7554,25.62,87,79,4.57,GH,1687113882
126,bayanday,53.0661,105.5139,10.31,77,44,1.67,RU,1687113882
127,morondava,-20.2833,44.2833,21.18,72,0,2.58,MG,1687113883
128,nizwa,22.9333,57.5333,33.76,20,8,0.64,OM,1687113883
129,nanortalik,60.1432,-45.2371,3.39,82,31,3.52,GL,1687113883
130,upernavik,72.7868,-56.1549,0.71,70,96,1.3,GL,1687113884
131,tulun,54.5611,100.5792,12.52,79,100,1.94,RU,1687113884
132,saint george,37.1041,-113.5841,34.13,21,0,7.72,US,1687113746
133,sorland,67.667,12.6934,13.92,74,7,2.26,NO,1687113884
134,klyuchi,52.2667,79.1667,17.96,67,10,3.9,RU,1687113884
135,henties bay,-22.116,14.2845,13.31,92,0,4.35,NA,1687113884
